OBJECTID,ZIPCODE1,ZIPName
445,20601,Waldorf
446,20602,Waldorf
447,20603,Waldorf
448,20606,Abell
449,20607,Accokeek
450,20608,Aquasco
451,20609,Avenue
452,20611,Bel Alton
453,20612,Benedict
454,20613,Brandywine
455,20615,Broomes Island
456,20616,Bryans Road
457,20617,Bryantown
458,20618,Bushwood
459,20619,California
460,20620,Callaway
461,20621,Chaptico
462,20622,Charlotte Hall
463,20623,Cheltenham
464,20624,Clements
465,20625,Cobb Island
466,20626,Coltons Point
467,20628,Dameron
468,20629,Dowell
469,20630,Drayden
470,20632,Faulkner
471,20634,Great Mills
472,20636,Hollywood
473,20637,Hughesville
474,20639,Huntingtown
475,20640,Indian Head
476,20645,Issue
477,20646,La Plata
478,20650,Leonardtown
479,20653,Lexington Park
480,20656,Loveville
481,20657,Lusby
482,20658,Marbury
483,20659,Mechanicsville
484,20662,Nanjemoy
485,20664,Newburg
486,20667,Park Hall
487,20670,Patuxent River
488,20674,Piney Point
489,20675,Pomfret
490,20676,Port Republic
491,20677,Port Tobacco
492,20678,Prince Frederick
493,20680,Ridge
494,20684,Saint Inigoes
495,20685,Saint Leonard
496,20687,Scotland
497,20688,Solomons
498,20689,Sunderland
499,20690,Tall Timbers
500,20692,Valley Lee
501,20693,Welcome
502,20695,White Plains
503,20701,Annapolis Junction
504,20705,Beltsville
505,20706,Lanham
506,20707,Laurel
507,20708,Laurel
508,20710,Bladensburg
509,20711,Lothian
510,20712,Mount Rainier
511,20714,North Beach
512,20715,Bowie
513,20716,Bowie
514,20720,Bowie
515,20721,Bowie
516,20722,Brentwood
517,20723,Laurel
518,20724,Laurel
519,20732,Chesapeake Beach
520,20733,Churchton
521,20735,Clinton
522,20736,Owings
523,20737,Riverdale
524,20740,College Park
525,20742,College Park
526,20743,Capitol Heights
527,20744,Fort Washington
528,20745,Oxon Hill
529,20746,Suitland
530,20747,District Heights
531,20748,Temple Hills
532,20751,Deale
533,20754,Dunkirk
534,20755,Fort George G Meade
535,20758,Friendship
536,20759,Fulton
537,20762,Andrews Air Force Base
538,20763,Savage
539,20764,Shady Side
540,20765,Galesville
541,20769,Glenn Dale
542,20770,Greenbelt
543,20771,Greenbelt
544,20772,Upper Marlboro
545,20774,Upper Marlboro
546,20776,Harwood
547,20777,Highland
548,20778,West River
549,20779,Tracys Landing
550,20781,Hyattsville
551,20782,Hyattsville
552,20783,Hyattsville
553,20784,Hyattsville
554,20785,Hyattsville
555,20794,Jessup
556,20812,Glen Echo
557,20814,Bethesda
558,20815,Chevy Chase
559,20816,Bethesda
560,20817,Bethesda
561,20818,Cabin John
